"filename", "language", "Python", "pip requirements", "Markdown", "comment", "blank", "total"
"e:\LLM_App\期末项目\README.md", "Markdown", 0, 0, 77, 0, 28, 105
"e:\LLM_App\期末项目\README_EN.md", "Markdown", 0, 0, 77, 0, 26, 103
"e:\LLM_App\期末项目\pages\1_🤓_原文提取.py", "Python", 31, 0, 0, 1, 7, 39
"e:\LLM_App\期末项目\pages\2_😶‍🌫️_论文总结.py", "Python", 42, 0, 0, 2, 14, 58
"e:\LLM_App\期末项目\pages\4_🤖_论文问答.py", "Python", 167, 0, 0, 12, 38, 217
"e:\LLM_App\期末项目\pages\5_✒️_文段改写.py", "Python", 144, 0, 0, 10, 29, 183
"e:\LLM_App\期末项目\pages\6_🤯_思维导图.py", "Python", 110, 0, 0, 4, 13, 127
"e:\LLM_App\期末项目\requirements.txt", "pip requirements", 0, 9, 0, 0, 0, 9
"e:\LLM_App\期末项目\utils.py", "Python", 512, 0, 0, 35, 99, 646
"e:\LLM_App\期末项目\文件中心.py", "Python", 167, 0, 0, 23, 23, 213
"Total", "-", 1173, 9, 154, 87, 277, 1700
